zip,total,estimate,per_100k
21875,7200.22,6676,107852.30677052126
21409,20873.5,19931,104728.81440971351
20910,45405.51,44301,102493.19428455339
21797,8880,8873,100078.89101769414
21780,1600,1614,99132.58983890955
20781,11394.49,11694,97438.77201983923
21012,21018,21600,97305.55555555556
21244,35334.97,36394,97090.09726878058
20866,15832,16365,96743.04919034525
21045,38473.94,40365,95315.09971509971
21043,43706.59,47351,92303.4149225993
21048,9455,10276,92010.50992604127
21111,4642.5,5387,86179.6918507518
20695,6910,8089,85424.65076029176
21162,3685,4331,85084.27614869546
21051,250,295,84745.7627118644
21704,14061,16887,83265.23361165394
20838,250,302,82781.45695364238
21629,7710,9396,82056.19412515964
21788,9571.22,11910,80362.88832913517
20850,41623.49,53176,78274.95486685722
20607,8403,10843,77497.00267453656
20625,500,646,77399.38080495357
20774,36370,47165,77112.26545107602
21403,23220.87,31377,74006.02352041303
21227,24855,33589,73997.43963797671
20772,33403.95,45321,73705.23598331898
21228,35160.65,48196,72953.46086812184
20905,13475.72,18662,72209.40949523095
20688,1249,1749,71412.23556317895
21632,4250,6078,69924.31720960842
21076,12192.5,17442,69903.10744180714
21625,1800,2583,69686.41114982578
20646,14940,21951,68060.68060680607
20871,12402,18628,66577.19561949754
21718,100,151,66225.16556291391
21561,1610,2464,65340.909090909096
20901,23287.94,36278,64193.00953746072
20706,27338.14,43670,62601.64872910464
21113,21069.5,34473,61118.84663359731
21838,1000,1657,60350.03017501509
20751,1250,2091,59780.00956480153
21702,24806.98,41815,59325.5530312089
21822,1000,1687,59276.82276229994
21703,21700,37473,57908.36068636085
20903,16125,27973,57644.87184070354
20785,21865.79,38878,56242.06492103504
21084,4274.95,7603,56227.14717874523
21133,18621,33299,55920.598216162645
21009,16537.72,29905,55300.852700217365
21122,33297.2,61051,54539.97477518795
21917,1150,2127,54066.760695815705
20841,6047.5,11443,52848.90325963472
21610,226,433,52193.995381062356
21722,3000,5748,52192.06680584552
21773,2830,5431,52108.26735407844
21502,22024.36,42391,51955.27352504069
21671,510,984,51829.26829268293
21044,22276.46,44256,50335.457339117864
20769,3075.33,6222,49426.71166827386
20736,4295,9248,46442.474048442906
21770,2540,5513,46072.91855614003
21921,21066.09,46162,45635.13279320653
21213,13995,31007,45134.96952301093
21863,2101.17,4657,45118.531243289675
21075,14941.55,33726,44302.763446599056
21787,4490,10173,44136.43959500639
20678,5385,12261,43919.74553462197
20714,2055.22,4683,43886.82468503096
20882,6125,13988,43787.5321704318
21014,15988,36538,43757.18430127539
21638,2243.71,5130,43737.03703703704
20609,500,1151,43440.48653344918
21713,4650,10728,43344.51901565996
21071,250,581,43029.259896729774
21738,1639,3827,42827.27985367129
20855,6546,15287,42820.6973245241
21087,2295,5394,42547.27474972192
21015,12367.72,29199,42356.65604986472
21617,4422.5,10570,41840.11352885525
21114,11391.72,27303,41723.327106911325
